model,split,coffee_type,mae,rmse,mape,smape,r2,mean_consumption,std_consumption,coef_variation,mean_abs_yoy_change,mean_abs_yoy_growth_pct,lag1_autocorr,sign_changes_in_trend
XGBoost,test,Arabica/Robusta,108239679.2,113111420.18060832,7.165433212326075,7.455268167231807,-6.766586881662252,1090434962.0,304848545.23688895,0.2795660042647174,32963015.172413792,3.258599794667277,0.9975146091504337,5
TimeGPT,test,Robusta/Arabica,109750412.0,112425470.08246094,13.23061509907916,12.381336344541618,-21.911307007031777,462789856.0,222137963.7649858,0.47999747808859883,22185680.689655174,4.968399375397873,0.9976991010747335,3
TimeGPT,test,Arabica/Robusta,75751916.0,79361032.61068672,5.061145516271124,4.924525220387273,-2.8232431092556314,1090434962.0,304848545.23688895,0.2795660042647174,32963015.172413792,3.258599794667277,0.9975146091504337,5
XGBoost,test,Robusta/Arabica,65251820.8,71003306.67186831,7.813535443805507,7.474279103755215,-8.138556256446465,462789856.0,222137963.7649858,0.47999747808859883,22185680.689655174,4.968399375397873,0.9976991010747335,3
TimeGPT,test,Arabica,44538149.2,46656336.55691016,7.917965598242276,7.589836983183778,-292.774468008778,439439180.76666665,90285858.65893708,0.20545700659058222,9714639.72413793,2.397458699535,0.9979184534163819,3
LSTM,test,Robusta/Arabica,39733363.2,42094295.227668464,4.775057616103949,4.6520559335652845,-2.211933693349195,462789856.0,222137963.7649858,0.47999747808859883,22185680.689655174,4.968399375397873,0.9976991010747335,3
LSTM,test,Arabica/Robusta,34930073.6,38988447.68282051,2.308485034769846,2.3383690124935814,0.07723886772273858,1090434962.0,304848545.23688895,0.2795660042647174,32963015.172413792,3.258599794667277,0.9975146091504337,5
ARIMA,test,Arabica/Robusta,21192172.881351184,28365227.202619355,1.4098617398474904,1.3930208165875277,0.51158406185837,1090434962.0,304848545.23688895,0.2795660042647174,32963015.172413792,3.258599794667277,0.9975146091504337,5
ARIMA,test,Arabica,18413320.316209864,22268532.725372672,3.2700318204666923,3.1941792209163715,-65.92308964216892,439439180.76666665,90285858.65893708,0.20545700659058222,9714639.72413793,2.397458699535,0.9979184534163819,3
XGBoost,test,Arabica,20597914.4,21009618.63881962,3.6623867125901954,3.7334439013988345,-58.570208040924946,439439180.76666665,90285858.65893708,0.20545700659058222,9714639.72413793,2.397458699535,0.9979184534163819,3
LSTM,test,Arabica,16517286.4,17954111.2967444,2.9362664419773234,2.886313326486029,-42.50342130579668,439439180.76666665,90285858.65893708,0.20545700659058222,9714639.72413793,2.397458699535,0.9979184534163819,3
LSTM,test,Robusta,11625217.6,11637783.436304493,19.681415048563128,21.83354124440542,-595.2618064526206,46894838.0,17376654.57875813,0.3705451456887031,2926543.4482758623,10.502769151587664,0.9555982000126062,9
ARIMA,test,Robusta/Arabica,7671498.390887189,11186716.873418627,0.9226428513607956,0.9167467010208858,0.7731568164072957,462789856.0,222137963.7649858,0.47999747808859883,22185680.689655174,4.968399375397873,0.9976991010747335,3
TimeGPT,test,Robusta,5728348.4,5813786.024569463,9.711205862900481,9.248392024185748,-147.80397617875468,46894838.0,17376654.57875813,0.3705451456887031,2926543.4482758623,10.502769151587664,0.9555982000126062,9
XGBoost,test,Robusta,1249342.4,1398130.2975754442,2.1073878200540084,2.1354824480369663,-7.605809791616419,46894838.0,17376654.57875813,0.3705451456887031,2926543.4482758623,10.502769151587664,0.9555982000126062,9
ARIMA,test,Robusta,781122.8861360863,940657.8886997441,1.3300640882700165,1.3173144446438785,-2.8954698998759727,46894838.0,17376654.57875813,0.3705451456887031,2926543.4482758623,10.502769151587664,0.9555982000126062,9
