model,split,coffee_type,mae,rmse,mape,smape,r2
ARIMA,train,Arabica,15288078.676718865,57703042.13890742,4.988205807566292,8.99098026529093,0.4613858062187781
ARIMA,train,Arabica/Robusta,40509402.9599043,128184070.90758471,5.598006269256253,9.594139867308007,0.7680204028020974
ARIMA,train,Robusta,4517003.869255307,8439459.457853872,14.138022320760522,18.48674556239437,0.7820809889957439
ARIMA,train,Robusta/Arabica,23704200.266305868,47037909.28748746,7.897920780500072,11.885995374686761,0.919531990492162
ARIMA,test,Arabica,18413320.316209864,22268532.725372672,3.2700318204666923,3.1941792209163715,-65.92308964216892
ARIMA,test,Arabica/Robusta,21192172.881351184,28365227.202619355,1.4098617398474904,1.3930208165875277,0.51158406185837
ARIMA,test,Robusta,781122.8861360863,940657.8886997441,1.3300640882700165,1.3173144446438785,-2.8954698998759727
ARIMA,test,Robusta/Arabica,7671498.390887189,11186716.873418627,0.9226428513607956,0.9167467010208858,0.7731568164072957
XGBoost,train,Arabica,1366732.75,1872830.5821766288,0.32236371414487974,0.32207920650504995,0.9992482663937825
XGBoost,train,Arabica/Robusta,918030.4,1108482.8825272855,0.09182889235132824,0.0918439169180624,0.9999755847989926
XGBoost,train,Robusta,624139.7,771759.8742058309,1.9798871912738598,1.9534149033318413,0.998246295514104
XGBoost,train,Robusta/Arabica,1904288.2,2312897.3344535637,0.5092398112437377,0.508968485776911,0.9997979196476362
XGBoost,test,Arabica,20597914.4,21009618.63881962,3.6623867125901954,3.7334439013988345,-58.570208040924946
XGBoost,test,Arabica/Robusta,108239679.2,113111420.18060832,7.165433212326075,7.455268167231807,-6.766586881662252
XGBoost,test,Robusta,1249342.4,1398130.2975754442,2.1073878200540084,2.1354824480369663,-7.605809791616419
XGBoost,test,Robusta/Arabica,65251820.8,71003306.67186831,7.813535443805507,7.474279103755215,-8.138556256446465
LSTM,train,Arabica,5112901.818181818,6016164.72150507,1.2229324956109309,1.2220947975543428,0.9929888159147697
LSTM,train,Arabica/Robusta,17181410.90909091,20215149.829856545,1.7400754611019646,1.7386807900634345,0.9932317061614984
LSTM,train,Robusta,15954914.0,16825056.376002353,49.08353549716786,38.45642163746951,0.17925287030049641
LSTM,train,Robusta/Arabica,9285850.909090908,11114051.282163886,2.594897901655916,2.590510096094494,0.9954500220827479
LSTM,test,Arabica,16517286.4,17954111.2967444,2.9362664419773234,2.886313326486029,-42.50342130579668
LSTM,test,Arabica/Robusta,34930073.6,38988447.68282051,2.308485034769846,2.3383690124935814,0.07723886772273858
LSTM,test,Robusta,11625217.6,11637783.436304493,19.681415048563128,21.83354124440542,-595.2618064526206
LSTM,test,Robusta/Arabica,39733363.2,42094295.227668464,4.775057616103949,4.6520559335652845,-2.211933693349195
TimeGPT,train,Arabica,25964035.555555556,27659755.88747104,5.062997014442282,4.924455640011892,0.05925825019798536
TimeGPT,train,Arabica/Robusta,80058937.77777778,89481026.72307986,5.9000705822292145,5.697927804708614,0.06933354206950193
TimeGPT,train,Robusta,7214474.0,9700479.815643003,11.681345038531774,10.569210243235858,-54.25287333590232
TimeGPT,train,Robusta/Arabica,24298036.666666668,32073392.13373516,4.301317593847374,4.300050741374658,0.9119978516031249
TimeGPT,test,Arabica,44538149.2,46656336.55691016,7.917965598242276,7.589836983183778,-292.774468008778
TimeGPT,test,Arabica/Robusta,75751916.0,79361032.61068672,5.061145516271124,4.924525220387273,-2.8232431092556314
TimeGPT,test,Robusta,5728348.4,5813786.024569463,9.711205862900481,9.248392024185748,-147.80397617875468
TimeGPT,test,Robusta/Arabica,109750412.0,112425470.08246094,13.23061509907916,12.381336344541618,-21.911307007031777
